㐀	丘
錐	锥
錑	𬭜
錒	锕
錔	𰾓
錕	锟
錗	𬭗
錘	鎚 锤
錙	锱
錚	铮
錛	锛
錜	𫓻
錝	𫓽
錞	𬭚
錟	锬
錠	锭
錡	锜
錢	钱
錣	𮣵
錤	𫓹
錥	𫓾
錦	锦
錧	𰾒
錨	锚
錩	锠
錪	𬭓
錫	锡
錭	𬭕
錮	锢
錯	错
錳	锰
錶	表 𰾍
錸	铼
錽	𫓸
錾	鏨
鍀	锝
鍁	锨
鍂	𰾑
鍃	锪
鍄	𨱉
鍆	钔
鍇	锴
鍈	锳
鍉	𫔂 匙
鍊	𫔀
鍋	锅
鍍	镀
鍏	𬬬
鍐	𰾞
鍑	𰾟
鍒	𫔄
鍔	锷
鍖	𰾘
鍘	铡
鍚	钖
鍛	锻 煅
鍜	煆 𰾤
鍝	𰾙
鍟	𰾝
鍠	锽
鍡	𰾚
鍣	𬭡
鍤	锸
鍥	锲
鍦	𰾢
鍧	𰾡
鍨	𰾥
鍩	锘
鍫	鍬
鍬	鍫 锹
鍭	𬭤
鍮	𨱎
鍯	𬭥
鍰	鐶 锾
鍱	𰾕
鍴	𰾜
鍵	键
鍶	锶
鍺	锗
鍼	箴 𰾗 針
鍾	锺 钟
鎂	镁
鎄	锿
鎅	𰾛
鎇	镅
鎈	𫟿
鎉	𰾬
鎊	镑
鎋	𬭪 轄
鎌	𰾮 鐮
鎍	𫔅
鎏	鏐
鎑	𰾩
鎒	𬭦 耨
鎓	𬭩
鎔	镕 熔
鎕	𰾯
鎖	鎻 锁 鏁
鎗	𬬰
鎘	镉
鎙	𫔈 槊
鎚	𬭨 錘
鎛	镈
鎝	𨱏
鎞	𫔇
鎡	镃
鎢	钨
鎣	蓥
鎦	镏
鎧	铠
鎩	铩
鎪	锼
鎬	镐
鎭	鎮
鎮	镇 鎭
鎯	𨱍
鎰	镒
鎲	镋
鎳	镍
鎵	镓
鎶	鿔
鎷	𨰾
鎻	鎖
鎿	镎
鏁	𬭲 鎖
鏂	𰽜
鏃	镞
鏆	𨱌
鏇	镟
鏈	链
鏉	𨱒
鏌	镆
鏍	镙
鏏	𬭬
鏐	鎏 镠
鏑	镝
鏒	𬭝
鏓	𰾱
鏔	𬭰
鏕	𰾲
鏗	铿
鏘	锵
鏙	𰾰
鏚	𬭭
鏜	镗
鏝	镘
鏞	镛
鏟	铲
鏡	镜
鏢	鑣 镖
鏤	镂
鏥	𫔊 銹 鏽
鏦	𫓩
鏨	錾
鏩	𰾌
鏰	镚 斆
鏵	铧
鏷	镤
鏸	𰾶
鏹	镪
鏺	䥽
鏻	𬭸
鏽	锈 銹
鏾	𠜎 𫔌
鐀	𬭢 櫃 匱
鐁	𰾴
鐃	铙
鐄	𨱑
鐇	𫔍
鐈	𫓱
鐉	𰾼
鐊	𬭏
鐋	铴
鐍	𫔎
鐎	𨱓
鐏	𨱔
鐐	镣
鐒	铹
鐓	镦
鐔	镡
鐕	𰾷
鐖	𰽕
鐘	钟
鐙	镫
鐚	𰾪
鐝	镢
鐠	镨
鐤	𰾸
鐥	䦅
鐦	锎
鐧	锏
鐨	镄
鐩	𬭼
鐪	𫓺
鐫	鑴 𰾹 鋑 镌
鐬	𰽷
鐮	镰 鎌
鐯	䦃
鐲	镯
鐳	镭
鐴	𬭽
鐵	鉄 銕 铁
鐶	鍰 镮
鐸	铎
鐹	𰽾
鐺	铛
鐼	𫔁
鐽	𫟼
鐿	镱
鑀	𰾭
鑄	铸
鑇	𬭉
鑈	鿭
鑉	𫠁
鑊	镬
鑋	𰼻
鑌	镔
鑏	𬬾
鑐	𰿂
鑑	鑒 𰾫
鑒	鉴 鑑
鑔	镲
鑕	锧
鑖	𰿃
鑘	𰿄
鑙	𬭿
鑚	鑽
鑛	礦 𰽚
鑞	镴
鑠	铄
鑡	𬭔
鑢	䥨 𮣶
鑣	鏢 镳
鑥	镥
鑨	𰽦
鑪	𬬻
鑭	镧
鑮	𬮁
鑯	𰿈
鑰	钥
鑱	镵
鑲	镶
鑴	鐫 𫔔 鋑
鑷	镊
鑸	𰿉
鑹	镩
鑼	锣
鑽	𰿆 鉆 鑚 钻
鑾	銮
鑿	凿
钀	𰾾
钁	䦆
钃	𰾽
钅	釒
钆	釓
钇	釔
针	針
钉	釘
钊	釗
钋	釙
钌	釕
钍	釷
钎	釺
钏	釧
钐	釤
钑	鈒
钒	釩
钓	釣
钔	鍆
钕	釹
钖	鍚
钗	釵
钘	鈃
钙	鈣
钚	鈈
钛	鈦
钜	鉅
钝	鈍
钞	鈔
钟	鍾 鐘
钠	鈉
钡	鋇
钢	鋼
钣	鈑
钤	鈐
钥	鑰
钦	欽
钧	鈞
钨	鎢
钩	鈎 鉤
钪	鈧
钫	鈁
钬	鈥
钭	鈄
钮	鈕
钯	鈀
钰	鈺
钱	錢
钲	鉦
钳	鉗
钴	鈷
钵	缽
钶	鈳
钷	鉕
钸	鈽
钹	鈸
钺	鉞
钻	鑽
钼	鉬
钽	鉭
钾	鉀
钿	鈿
铀	鈾
铁	鐵
铂	鉑
铃	鈴
铄	鑠
铅	鉛
铆	鉚
铇	鉋
铈	鈰
铉	鉉
铊	鉈
铋	鉍
铌	鈮
铍	鈹
铎	鐸
铏	鉶
铐	銬
铑	銠
铒	鉺
铓	鋩
铔	錏
铕	銪
铖	鋮
铗	鋏
铘	鋣
铙	鐃
铚	銍
铛	鐺
铜	銅
铝	鋁
铞	銱
铟	銦
铠	鎧
铡	鍘
铢	銖
铣	銑
铤	鋌
铥	銩
铦	銛
铧	鏵
铨	銓
铩	鎩
铪	鉿
铫	銚
铬	鉻
铭	銘
铮	錚
铯	銫
铰	鉸
铱	銥
铲	鏟
铳	銃
铴	鐋
铵	銨
银	銀
铷	銣
铸	鑄
铹	鐒
铺	鋪
铻	鋙
铼	錸
铽	鋱
链	鏈
铿	鏗
销	銷
锁	鎖
锂	鋰
锃	鋥
锄	鋤
锅	鍋
锆	鋯
锇	鋨
锈	銹 鏽
锉	銼
锊	鋝
锋	鋒
锌	鋅
锍	鋶
锎	鐦
锏	鐧
锐	銳
锑	銻
锒	鋃
锓	鋟
锔	鋦
锕	錒
锖	錆
锗	鍺
锘	鍩
错	錯
锚	錨
锛	錛
锜	錡
锝	鍀
锞	錁
锟	錕
锠	錩
锡	錫
锢	錮
锣	鑼
锤	錘
锥	錐
锦	錦
锧	鑕
锨	鍁
锩	錈
锪	鍃
锫	錇
锬	錟
锭	錠
键	鍵
锯	鋸
锰	錳
锱	錙
锲	鍥
锳	鍈
锴	鍇
锵	鏘
锶	鍶
锷	鍔
锸	鍤
锹	鍬
锺	鍾
锻	鍛
锼	鎪
锽	鍠
锾	鍰
锿	鎄
镀	鍍
镁	鎂
镂	鏤
镃	鎡
镄	鐨
镅	鎇
镆	鏌
镇	鎮
镈	鎛
镉	鎘
镊	鑷
镋	鎲
镌	鐫
镍	鎳
镎	鎿
镏	鎦
镐	鎬
镑	鎊
镒	鎰
镓	鎵
镔	鑌
镕	鎔
镖	鏢
镗	鏜
镘	鏝
镙	鏍
镚	鏰
镛	鏞
镜	鏡
镝	鏑
镞	鏃
镟	鏇
镠	鏐
镡	鐔
镢	鐝
镣	鐐
镤	鏷
镥	鑥
镦	鐓
镧	鑭
镨	鐠
镩	鑹
镪	鏹
镫	鐙
镬	鑊
镭	鐳
镮	鐶
镯	鐲
镰	鐮
镱	鐿
镲	鑔
镳	鑣
镴	鑞
镵	鑱
镶	鑲
長	长
长	長
門	门
閂	闩
閃	闪
閄	𬮘
閅	𮤫
閆	閻 闫
閈	闬
閉	闭
開	开 𫔭
閌	闶
閍	𨸂
閎	闳
閏	闰
閐	𨸃
閑	闲
閒	闲 間
間	间 閒
閔	闵
閕	𰿩
閗	𫔯
閘	闸
閙	鬧
閛	𰿬
閜	𬮠
閝	𫠂
閞	𫔰
閟	𮤲
閡	阂
関	關 闗 𨶹
閣	阁
閤	𬮤
閥	阀
閦	𬮥
閧	𬮢 鬨
閨	闺
閩	闽
閫	阃
閬	阆
閭	闾
閯	𬮪
閱	阅
閵	𫔴
閶	阊
閷	𰿳
閹	阉 剦
閻	阎 閆
閼	阏
閽	阍
閾	阈
閿	阌
闃	阒
闄	𬮲
闆	板 𬮳
闇	𬮴
闈	闱
闉	𬮱
闊	阔 濶
闋	阕
闌	阑
闍	阇
闐	阗
闑	𫔶
闒	阘
闓	闿
闔	阖
闕	阙
闖	闯
闗	關 関
闚	𬮭
闛	𰿺
關	关 関 闗 寡
闞	阚
闟	𰿻
闠	阓
闡	阐
闢	辟 𰿾
闤	阛
闥	闼
门	門
闩	閂
闪	閃
闫	閆
闬	閈
闭	閉
问	問
闯	闖
闰	閏
闱	闈
闲	閒 閑
闳	閎
间	間
闵	閔
闶	閌
闷	悶
闸	閘
闹	鬧
闺	閨
闻	聞
闼	闥
闽	閩
闾	閭
闿	闓
阀	閥
阁	閣
阂	閡
阃	閫
阄	鬮
阅	閱
阆	閬
阇	闍
阈	閾
阉	閹
阊	閶
阋	鬩
阌	閿
阍	閽
阎	閻
阏	閼
阐	闡
阑	闌
阒	闃
阓	闠
阔	闊
阕	闋
阖	闔
阗	闐
阘	闒
阙	闕
阚	闞
阛	闤
阜	阝
阝	阜
队	隊
阡	仟
阧	陡
阨	呃 阸
阪	坂
阬	坑
阱	汫 穽
阳	陽 氜
阴	陰
阵	陣
阶	階
阸	阨
阿	啊
陀	陁
陁	陀
际	際
陆	陸
陇	隴
陈	陳
陉	陘
降	夅
陕	陝
陗	峭
陘	陉
陜	狹
陝	陕
陡	阧
陣	𨸬 陳 阵
陦	隯
陧	隉
陨	隕
险	險
陰	阴 隂
陳	陈 陣
陶	匋
陸	陆 六
陻	垔 堙
陼	渚
陽	氜 阳
陿	𬯅
隂	陰
隄	堤
隈	渨 偎
隉	陧
隊	队
隍	堭
階	堦 阶
随	隨
隐	隠 隱
隑	𬮿
隕	陨 磒
隖	塢 𬮻
際	际
隝	塢
隠	隐
隣	鄰
隤	墤 𬯎
隧	𡑞
隨	随
隩	𡒃
險	险
隫	𱀡
隮	𬯀 躋
隯	陦
隱	乚 隐
隲	騭 𱀑
隴	陇
隶	隸
隷	隸
隸	隶 隷
隻	只
隼	鶽 鵻
隽	雋
难	難
雁	鴈
集	亼
雇	僱
雋	隽
雍	𪪝 邕
雏	雛
雕	彫 㓮 鵰
雖	虽
雙	双
雛	雏 鶵
雜	杂 襍
雝	簌
雞	鳮 鸡 鷄
雠	讎
離	离
難	难
雨	馭
雱	霶
雲	云
雳	靂
電	电
雾	霧
霁	霽
霜	孀
霡	霢
霢	霡
霣	𫕥
霥	濛
霧	雾
霭	靄
霰	䨘
霶	雱
霸	覇
霼	𪵣
霽	霁
靀	濛
靂	雳
靄	霭
靅	𰷦
靆	叇
靈	灵
靉	叆
靓	靚
静	靜
靚	靓
靜	静
靝	天
面	面 麵
靥	靨
靦	䩄 腼 覥
靧	𫖃 頮
靨	靥
靭	韌
靴	鞾
鞀	鞉 鼗
鞉	鼗 鞀
鞋	鞵 𩋘 𩋧
鞏	巩
鞑	韃
鞒	鞽
鞘	韒
鞙	琄
鞝	绱
鞟	鞹
鞦	鞧
鞧	鞦
鞫	諊
鞯	韉
鞲	韝
鞴	絥
鞵	鞋
鞸	𱁴
鞹	鞟
鞻	𱁺
鞼	𱁹
鞽	橇 鞒
鞾	靴 𫖇
韁	繮 缰
韂	䩞
韃	鞑
韆	𱁶
韇	𱁷
韈	襪 韤
韉	鞯
韊	𱁾
韋	韦
韌	肕 靭 韧
韍	韨
韏	𱂇
韐	𱂆
韒	鞘 𱂉
韓	韩
韔	𮧴
韗	𱂈
韘	𱂊
韙	韪
韚	𫠅
韛	𫖔
韜	韬 弢
韝	𫖕 鞲
韞	韫 縕
韠	𫖒
韡	𮧵
韢	𬰶
韣	𱂋
韤	襪 韈
韦	韋
韧	韌
韨	韍
韩	韓
韪	韙
韫	韞
韬	韜
韭	韮
韮	韭
韵	韻
韻	韵 𱂐
響	响
頁	页
頂	顶 𩠑
頃	顷
頄	𬱓
項	项
順	顺
頇	顸
須	湏 须
頊	顼
頋	顧
頌	颂
頍	𫠆
頎	颀
頏	颃
預	预 豫
頑	顽
頒	颁
頓	顿
頔	𬱖
頕	𬱗
頖	𬱙
頗	颇
領	领
頛	𬱜
頜	颌
頞	𱂨
頟	額 𱂥
頠	𬱟
頡	颉
頢	𬱠
頣	頤
頤	颐 頣
頦	颏
頩	𱂦
頪	𱂧
頫	俯 𫖯
頭	头
頮	颒 靧
頯	𱂬
頰	颊
頲	颋
頴	穎 颕
頵	𫖳
頷	颔
頸	颈
頹	颓
頻	频
頼	賴
顀	𱂭
顁	𬱫
顃	𩖖
顄	𱂰
顅	𫖶
顆	颗
顇	𱂯
顉	𰽳
顊	𬱪
顋	𱂲 腮
題	题
額	额 頟
顎	颚
顏	颜
顐	𬱢
顑	𱂱
顒	颙
顓	颛
顕	顯
顖	囟 𱂶
顗	𫖮
願	𫖸 愿
顙	颡
顛	颠
顜	𱂴
顝	𱂵
類	𩔗 类
顠	𱂺
顢	颟
顣	𫖹
顤	𱂣
顥	皝 颢 皓
顦	憔 𱂻
顧	頋 顾
顩	𱂫
顪	𱂤
顫	颤
顬	颥
顮	𱂸
顯	显 顕
顰	嚬 颦
顱	颅 髗
顳	颞
顴	颧
页	頁
顶	頂
顷	頃
顸	頇
项	項
顺	順
须	鬚 須
顼	頊
顽	頑
顾	顧
顿	頓
颀	頎
颁	頒
颂	頌
颃	頏
预	預
颅	顱
领	領
颇	頗
颈	頸
颉	頡
颊	頰
颋	頲
颌	頜
颍	潁
颎	熲
颏	頦
颐	頤
频	頻
颒	頮
颓	頹
颔	頷
颕	頴
颖	穎
颗	顆
题	題
颙	顒
颚	顎
颛	顓
颜	顏
额	額
颞	顳
颟	顢
颠	顛
颡	顙
颢	顥
颣	纇
颤	顫
颥	顬
颦	顰
颧	顴
風	风
颩	𱃔
颬	𱃕
颭	飐
颮	飇 猋 飑
颯	飒
颰	𩙥
颱	台 𱃗
颲	𱃘
颳	刮
颴	𬱽
颶	飓
颷	𩙪
颸	飔
颹	𬱵
颺	飏
颻	飖
颼	䬒 飕
颽	𬱼
颾	𩙫
颿	𬳳
飀	飗
飁	𱃟
飂	𮨵
飄	飘
飆	飙
飇	𱃠 猋 颮
飈	飚
飉	𬲅
飋	𫗋
飍	𱃝
风	風
飏	颺
飐	颭
飑	颮
飒	颯
飓	颶
飔	颸
飕	颼
飖	颻
飗	飀
飘	飄
飙	飆
飚	飈
飛	飞
飞	飛
食	飠
飠	饣 食
飡	餐 湌
飢	饥 饑
飣	饤
飤	飼 𬲦
飥	饦
飦	饘 𫗞
飨	饗
飩	饨
飪	饪 䏕
飫	饫 饇
飭	饬
飯	饭
飰	𱃴
飲	饮
飴	饴
飵	𫗢
飶	𫗣
飷	𬲭
飼	飤 饲
飽	饱
飾	饰 餙
飿	饳
餀	𮩜
餂	舔 𱃺
餃	饺
餄	饸
餅	饼 餠
餉	饟 饷
養	养
餌	饵
餍	饜
餎	饹
餏	饻
餐	飡
餑	饽
餒	餧 馁
餓	饿
餔	𫗦
餕	馂
餖	饾
餗	𫗧
餘	余 馀
餙	飾
餚	𬳁 肴
餛	馄 餫
餜	䴹 馃
餞	饯
餟	𬳂 醊
餠	餅
餡	馅
餢	𱃾
餣	𬲼
餤	𱃿
餦	𫗠
餧	餒 𫗪 喂
館	馆 舘
餩	𱃽
餪	𫗬
餫	餛 𫗥
餬	𫗫
餭	𫗮
餯	𱄄
餰	𬳆
餱	𫗯 糇
餲	𮩝
餳	饧
餴	𱃼
餵	𫗭 諉 喂
餶	馉
餷	馇
餸	𩠌
餹	𬳍 糖
餺	馎
餻	糕
餼	饩
餽	饋
餾	馏
餿	馊
饀	𬳊
饁	馌
饃	馍
饅	馒
饆	𮩛
饇	飫 𱃲
饈	馐 𦟤
饉	馑
饊	馓 糤
饋	餽 櫃 匱 馈
饌	䉵 馔 籑
饍	膳
饎	𱄆
饐	𮩞
饑	飢
饒	饶
饕	叨
饗	飨
饘	𫗴 飦
饙	𱄀
饛	𱄈
饜	餍
饞	馋 嚵
饟	餉 𫗵
饠	𫗩
饡	𱄊
饢	馕
饣	飠
饤	飣
饥	飢
饦	飥
饧	餳
饨	飩
饩	餼
饪	飪
饫	飫
饬	飭
饭	飯
饮	飲
饯	餞
饰	飾
饱	飽
饲	飼
饳	飿
饴	飴
饵	餌
饶	饒
饷	餉
饸	餄
饹	餎
饺	餃
饻	餏
饼	餅
饽	餑
饾	餖
饿	餓
馀	餘
馁	餒
馂	餕
馃	餜
馄	餛
馅	餡
馆	館
馇	餷
馈	饋
馉	餶
馊	餿
馋	饞
馌	饁
馍	饃
馎	餺
馏	餾
馐	饈
馑	饉
馒	饅
馓	饊
馔	饌
馕	饢
馘	聝
馚	馩
馩	𬳟 馚
馬	马
馭	驭 御
馮	冯 溤
馯	𫘛
馱	䭾 驮
馲	𱄽
馳	驰
馴	驯
馵	𱄼
馹	驲
馺	𱅂
馼	𫘜
馽	𱅁
馿	驢
駁	駮 驳
駂	𱅀
駃	𫘝
駉	𬳶
駊	𫘟
駍	𬳴
駎	𩧨
駏	𱅃
駐	驻
駑	驽
駒	驹
駓	𬳵
駔	驵
駕	驾
駗	𱅇
駘	骀
駙	驸
駚	𩧫
駛	𩢲 驶
駜	𱅈
駝	驼
駞	𫘞
駟	驷
駢	骈 騈
駣	𱅏
駤	𫘠
駥	𱅉
駦	騰
駧	𩧲
駩	𩧴
駪	𬳽 侁 詵
駫	𫘡
駬	𱅋
駭	骇
駮	駁 𱅐
駰	骃
駱	骆
駴	𮪢
駶	𩧺
駷	𱅔
駸	骎
駹	𮪡
駺	𬴀
駻	𫘣
駼	𬳿
駽	𱅖
駾	𱅙
駿	骏
騀	𱅗
騁	骋
騂	骍
騃	𫘤
騄	𫘧
騅	骓
騇	𱅚
騈	駢
騉	𫘥
騊	𫘦
騋	𱅕
騌	騣 骔
騍	骒
騎	骑
騏	骐
騐	驗
騑	𬴂
騔	𩨀
騕	𱅜
騖	骛
騗	𱅝 騙
騘	驄
騙	骗 騗
騚	𩨊
騜	𫘩
騝	𩨃
騞	𬴃
騟	𩨈
騠	𫘨
騢	𱅞
騣	𮪣 騌
騤	骙
騥	𱅟
騧	䯄
騩	𱅡
騪	𩨄
騫	骞
騬	𱅢
騭	骘 隲
騮	骝
騯	𬴅
騰	腾 駦
騱	𫘬
騲	𮪤
騳	𱄿
騴	𫘫
騵	𫘪
騶	驺
騷	骚
騸	骟
騹	𬴆
騺	𱅊
騻	𫘭
騼	𫠋
騽	𱅩
騾	驘 骡
驀	蓦
驁	骜
驂	骖
驃	骠
驄	騘 骢
驅	驱 敺
驈	𱅫
驉	𱅧
驊	骅 𦽊
驋	𩧯
驌	骕
驍	骁
驎	𬴊
驏	骣
驐	𮪥
驒	𱅛
驓	𫘯
驔	𱅪
驕	骄
驖	𬴋
驗	验 騐
驘	騾
驙	𫘰
驚	惊
驛	驿
驞	𱅤
驟	骤
驠	𱅬
驡	𱅅
驢	驴 馿
驤	骧
驥	骥
驦	骦
驨	𫘱
驩	𬴐
驪	骊
驫	骉
马	馬
驭	馭
驮	馱
驯	馴
驰	馳
驱	驅
驲	馹
驳	駁
驴	驢
驵	駔
驶	駛
驷	駟
驸	駙
驹	駒
驺	騶
驻	駐
驼	駝
驽	駑
驾	駕
驿	驛
骀	駘
骁	驍
骂	罵
骃	駰
骄	驕
骅	驊
骆	駱
骇	駭
骈	駢
骉	驫
骊	驪
骋	騁
验	驗
骍	騂
骎	駸
骏	駿
骐	騏
骑	騎
骒	騍
骓	騅
骔	騌
骕	驌
骖	驂
骗	騙
骘	騭
骙	騤
骚	騷
骛	騖
骜	驁
骝	騮
骞	騫
骟	騸
骠	驃
骡	騾
骢	驄
骣	驏
骤	驟
骥	驥
骦	驦
骧	驤
骯	肮 腌
骴	𦙼 胔
骻	胯
骽	腿
骾	挭 鯁
髃	腢
髅	髏
髋	髖
髌	髕
髏	髅
髐	𱅮
髒	脏
體	体
髕	臏 髌
髖	髋
髗	顱
高	髙
髙	高
髣	彷
髮	发
髻	䯻
髼	鬅
鬀	剃
鬂	鬢
鬅	髼
鬆	松
鬍	胡
鬒	㐱
鬓	鬢 𩯭
鬖	𩭹
鬗	𱆆
鬚	须
鬜	𱆁
鬝	𱆀
鬞	𬴩
鬠	𫘽
鬡	𮫂
鬢	鬓 鬂
鬣	巤
鬥	斗 鬭 鬦 鬬 鬪
鬦	鬥
鬧	閙 闹
鬨	閧
鬩	阋
鬪	鬬 鬥
鬬	鬪 鬥
鬭	鬥
鬮	阄 䰗
鬱	欝 郁
鬶	鬹
鬹	鬶
鬺	𱆌
魇	魘
魉	魎
魎	魉
魏	巍
魗	𱆛
魘	魇
魙	聻
魚	鱼
魛	鱽
魜	𬶁
魝	𬶀
魟	𫚉 鰩
魠	𱇏
魡	𬶄
魢	鱾
魣	𮬛
魥	𩽹
魦	鯊 𫚌
魧	𱇘
魨	鲀
魪	𬶇
魫	𱇙
魬	𱇖
魭	𱇐
魮	𱇒
魯	鲁
魱	𱇓
魴	鲂
魵	𫚍
魶	𱇔
魷	鰌 鱿
魺	鲄
魻	𱇟
魼	𱇜
魽	𫠐
魾	𱇝
鮀	𬶍
鮁	鲅
鮂	𱇠
鮃	鲆
鮄	𫚒
鮅	𫚑
鮆	𫚖
鮇	𱇛 䱅
鮈	𬶋
鮊	鲌
鮋	鲉
鮌	𱇢
鮍	鲏
鮎	鲇
鮏	𱇡
鮐	鲐
鮑	鲍
鮒	鲋
鮓	鲊
鮘	𬶌
鮚	鲒
鮛	𱇨
鮜	鲘
鮝	鯗
鮞	鲕
鮟	𩽾
鮠	𬶏
鮡	𬶐
鮣	䲟
鮤	𫚓
鮥	𱇪
鮦	鲖
鮧	𱇧 鯷
鮨	𮬜
鮪	鲔
鮫	鲛
鮬	𱇦
鮭	鲑
鮮	鲜 鱻
鮯	𫚗
鮰	𫚔
鮳	鲓
鮵	𫚛
鮶	鲪
鮷	𬶕
鮸	𩾃
鮹	𱇯
鮺	鲝
鮻	𱇳
鮿	𫚚
鯀	鲧
鯁	挭 鲠 骾
鯄	𩾁
鯅	𱈁
鯆	𫚙
鯇	鲩
鯈	𱇱
鯉	鲤
鯊	鲨 魦
鯌	𬶔
鯒	鲬
鯔	鲻
鯕	鲯
鯖	鲭
鯗	鮝 鲞
鯚	𱇺
鯛	鲷
鯝	鲴
鯞	𫚡
鯠	𱇭
鯡	鲱
鯢	鲵
鯤	鲲
鯥	𱇶
鯦	𱇼
鯧	鲳 䱽
鯨	鲸
鯩	𱇗
鯪	鲮
鯫	鲰
鯬	𫚞
鯮	𱇾
鯰	鲶
鯱	𩾇
鯴	鲺
鯶	𩽼
鯷	鮧 鳀
鯸	𱈄
鯹	𬶢
鯻	𬶟
鯼	𱈅
鯽	鲫
鯾	𫚣
鯿	鳊
鰁	鳈
鰂	鲗
鰃	鳂
鰅	𱈂
鰆	䲠
鰇	𬶧
鰈	鲽
鰉	鳇 鱑
鰊	𬶠
鰋	𫚢
鰌	䲡 鰍 魷
鰍	鰌 鳅
鰏	鲾
鰐	鱷 鳄
鰑	𫚊
鰒	鳆
鰓	鳃
鰕	𫚥 蝦
鰗	𬶞
鰜	鳒
鰝	𱈋
鰟	鳑
鰠	鳋
鰡	𱈊
鰣	鲥
鰤	𫚕
鰥	鳏
鰦	𫚤
鰧	䲢
鰨	鳎
鰩	鳐 魟
鰫	𫚦
鰬	𱈉
鰭	鳍
鰮	鳁
鰯	𱈍
鰱	鲢
鰲	鼇 鳌
鰳	鳓
鰴	𱈑
鰵	鳘
鰶	𬶭
鰷	鲦
鰹	鲣
鰺	鲹
鰻	鳗
鰼	鳛
鰽	𫚧
鰾	鳔
鰿	𱇵
鱀	𬶨
鱁	𱈏
鱂	鳉
鱃	𱈌
鱄	𱈐 𫚋
鱅	鳙
鱆	𫠒
鱇	𩾌
鱈	鳕
鱉	鼈 鳖
鱊	𫚪
鱋	𬶬
鱌	𬶲
鱍	𱇣
鱎	𱇩
鱏	𱈓
鱐	𱇿
鱑	鰉 𬶫
鱒	鳟
鱓	䱇 鱔 𬶛
鱔	鱓 鳝
鱕	𱈕
鱖	鳜
鱗	鳞
鱘	鲟
鱚	𬶮
鱝	鲼
鱞	𬶵
鱟	鲎
鱠	鲙 膾
鱢	𫚫
鱣	鳣
鱤	鳡
鱥	𮬝
鱦	𱇸
鱧	鳢
鱨	鲿 𱈘
鱬	𱈗
鱭	鲚
鱮	𫚈
鱯	鳠
鱲	𫚭
鱴	𱈙
鱵	𮬤
鱷	𱈚 鰐 鳄
鱸	鲈
鱹	𬶺
鱺	鲡
鱻	鮮 𱈜
鱼	魚
鱽	魛
鱾	魢
鱿	魷
鲀	魨
鲁	魯
鲂	魴
鲃	䰾
鲄	魺
鲅	鮁
鲆	鮃
鲇	鮎
鲈	鱸
鲉	鮋
鲊	鮓
鲋	鮒
鲌	鮊
鲍	鮑
鲎	鱟
鲏	鮍
鲐	鮐
鲑	鮭
鲒	鮚
鲓	鮳
鲔	鮪
鲕	鮞
鲖	鮦
鲗	鰂
鲘	鮜
鲙	鱠
鲚	鱭
鲛	鮫
鲜	鮮
鲝	鮺
鲞	鯗
鲟	鱘
鲠	鯁
鲡	鱺
鲢	鰱
鲣	鰹
鲤	鯉
鲥	鰣
鲦	鰷
鲧	鯀
鲨	鯊
鲩	鯇
鲪	鮶
鲫	鯽
鲬	鯒
鲭	鯖
鲮	鯪
鲯	鯕
鲰	鯫
鲱	鯡
鲲	鯤
鲳	鯧
鲴	鯝
鲵	鯢
鲶	鯰
鲷	鯛
鲸	鯨
鲹	鰺
鲺	鯴
鲻	鯔
鲼	鱝
鲽	鰈
鲾	鰏
鲿	鱨
鳀	鯷
鳁	鰮
鳂	鰃
鳃	鰓
鳄	鰐 鱷
鳅	鰍
鳆	鰒
鳇	鰉
鳈	鰁
鳉	鱂
鳊	鯿
鳋	鰠
鳌	鰲
鳍	鰭
鳎	鰨
鳏	鰥
鳐	鰩
鳑	鰟
鳒	鰜
鳓	鰳
鳔	鰾
鳕	鱈
鳖	鱉
鳗	鰻
鳘	鰵
鳙	鱅
鳚	䲁
鳛	鰼
鳜	鱖
鳝	鱔
鳞	鱗
鳟	鱒
鳠	鱯
鳡	鱤
鳢	鱧
鳣	鱣
鳤	䲘
鳥	鸟
鳦	𱉇
鳧	凫
鳩	鸠
鳭	𱉈
鳮	雞 鷄
鳱	𱉊
鳲	鸤
鳳	凤
鳴	鸣
鳶	鸢
鳷	𫛛
鳸	𱉓
鳺	𱉎
鳻	𱉑
鳼	𪉃
鳽	𫛚
鳾	䴓
鳿	𱉍
鴀	𫛜
鴁	𮭢
鴂	𱉔
鴃	𫛞 鵙
鴄	裒
鴅	𫛝
鴆	鸩 酖
鴇	鸨
鴈	雁
鴉	鸦
鴍	𬸀
鴐	𫛤
鴒	鸰
鴓	𮭤
鴔	𫛡
鴕	鸵
鴗	𫁡
鴘	𱉡
鴙	𱉛
鴚	𱉕
鴛	鸳
鴜	𪉈
鴝	鸜 朐 鸲
鴞	鸮 梟
鴟	鸱
鴠	𱉗
鴡	𱉘
鴢	𱉢
鴣	鸪
鴥	𫛣
鴦	鸯
鴨	鸭
鴩	𱉚
鴮	𫛦
鴯	鸸
鴰	鸹
鴱	𱉪
鴲	𪉆
鴳	𫛩 鷃
鴴	鸻
鴶	𱉥
鴷	䴕
鴸	𱉫
鴹	𱉯
鴺	𱉩 鵜
鴻	鸿
鴽	𫛪
鴾	𱉲
鴿	鸽
鵀	𬸊
鵁	䴔
鵂	鸺
鵃	鸼
鵄	𬸈
鵅	𱉮
鵊	𫛥
鵋	𱉽
